Symbol,Company Name,TEST
RELIANCE.NS,RELIANCE INDUSTRIES LIMITED,RELIANCE
TCS.NS,TATA CONSULTANCY SERVICES LIMITED,TCS
HDFCBANK.NS,HDFC BANK LIMITED,HDFCBANK
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,BHARTIARTL
ICICIBANK.NS,ICICI BANK LIMITED,ICICIBANK
INFY.NS,INFOSYS LIMITED,INFY
SBIN.NS,STATE BANK OF INDIA,SBIN
LICI.NS,LIFE INSURANCE CORPORATION OF INDIA,LICI
HINDUNILVR.NS,HINDUSTAN UNILEVER LIMITED,HINDUNILVR
ITC.NS,ITC LIMITED,ITC
LT.NS,LARSEN & TOUBRO LIMITED,LT
HCLTECH.NS,HCL TECHNOLOGIES LIMITED,HCLTECH
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,BAJFINANCE
SUNPHARMA.NS,SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA
NTPC.NS,NTPC LIMITED,NTPC
MARUTI.NS,MARUTI SUZUKI INDIA LIMITED,MARUTI
AXISBANK.NS,AXIS BANK LIMITED,AXISBANK
ONGC.NS,OIL & NATURAL GAS CORPORATION LIMITED,ONGC
KOTAKBANK.NS,KOTAK MAHINDRA BANK LIMITED,KOTAKBANK
TATAMOTORS.NS,TATA MOTORS LIMITED,TATAMOTORS
ADANIENT.NS,ADANI ENTERPRISES LIMITED,ADANIENT
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,ULTRACEMCO
POWERGRID.NS,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
HAL.NS,HINDUSTAN AERONAUTICS LIMITED,HAL
TITAN.NS,TITAN COMPANY LIMITED,TITAN
ADANIPORTS.NS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS
DMART.NS,AVENUE SUPERMARTS LIMITED,DMART
COALINDIA.NS,COAL INDIA LIMITED,COALINDIA
WIPRO.NS,WIPRO LIMITED,WIPRO
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,BAJAJ-AUTO
ASIANPAINT.NS,ASIAN PAINTS LIMITED,ASIANPAINT
BAJAJFINSV.NS,BAJAJ FINSERV LIMITED,BAJAJFINSV
ADANIGREEN.NS,ADANI GREEN ENERGY LIMITED,ADANIGREEN
SIEMENS.NS,SIEMENS LIMITED,SIEMENS
ADANIPOWER.NS,ADANI POWER LIMITED,ADANIPOWER
TRENT.NS,TRENT LIMITED,TRENT
NESTLEIND.NS,NESTLE INDIA LIMITED,NESTLEIND
JSWSTEEL.NS,JSW STEEL LIMITED,JSWSTEEL
ZOMATO.NS,ZOMATO LIMITED,ZOMATO
HINDZINC.NS,HINDUSTAN ZINC LIMITED,HINDZINC
IOC.NS,INDIAN OIL CORPORATION LIMITED,IOC
BEL.NS,BHARAT ELECTRONICS LIMITED,BEL
IRFC.NS,INDIAN RAILWAY FINANCE CORPORATION LIMITED,IRFC
JIOFIN.NS,JIO FINANCIAL SERVICES LIMITED,JIOFIN
DLF.NS,DLF LIMITED,DLF
VBL.NS,VARUN BEVERAGES LIMITED,VBL
TATASTEEL.NS,TATA STEEL LIMITED,TATASTEEL
VEDL.NS,VEDANTA LIMITED,VEDL
LTIM.NS,LTIMINDTREE LIMITED,LTIM
GRASIM.NS,GRASIM INDUSTRIES LIMITED,GRASIM
INDIGO.NS,INTERGLOBE AVIATION LIMITED,INDIGO
SBILIFE.NS,SBI LIFE INSURANCE COMPANY LIMITED,SBILIFE
PFC.NS,POWER FINANCE CORPORATION LIMITED,PFC
ABB.NS,ABB INDIA LIMITED,ABB
TECHM.NS,TECH MAHINDRA LIMITED,TECHM
PIDILITIND.NS,PIDILITE INDUSTRIES LIMITED,PIDILITIND
HINDALCO.NS,HINDALCO INDUSTRIES LIMITED,HINDALCO
AMBUJACEM.NS,AMBUJA CEMENTS LIMITED,AMBUJACEM
HYUNDAI.NS,HYUNDAI MOTOR INDIA LIMITED,HYUNDAI
HDFCLIFE.NS,HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE
RECLTD.NS,REC LIMITED,RECLTD
DIVISLAB.NS,DIVI'S LABORATORIES LIMITED,DIVISLAB
GAIL.NS,GAIL (INDIA) LIMITED,GAIL
BPCL.NS,BHARAT PETROLEUM CORPORATION LIMITED,BPCL
TATAPOWER.NS,TATA POWER COMPANY LIMITED,TATAPOWER
GODREJCP.NS,GODREJ CONSUMER PRODUCTS LIMITED,GODREJCP
BRITANNIA.NS,BRITANNIA INDUSTRIES LIMITED,BRITANNIA
EICHERMOT.NS,EICHER MOTORS LIMITED,EICHERMOT
MOTHERSON.NS,SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,MOTHERSON
LODHA.NS,MACROTECH DEVELOPERS LIMITED,LODHA
BANKBARODA.NS,BANK OF BARODA,BANKBARODA
CIPLA.NS,CIPLA LIMITED,CIPLA
JSWENERGY.NS,JSW ENERGY LIMITED,JSWENERGY
TVSMOTOR.NS,TVS MOTOR COMPANY LIMITED,TVSMOTOR
PNB.NS,PUNJAB NATIONAL BANK,PNB
SHRIRAMFIN.NS,SHRIRAM FINANCE LIMITED,SHRIRAMFIN
CHOLAFIN.NS,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
BAJAJHFL.NS,BAJAJ HOUSING FINANCE LIMITED,BAJAJHFL
SWIGGY.NS,SWIGGY LIMITED,SWIGGY
BAJAJHLDNG.NS,BAJAJ HOLDINGS & INVESTMENT LIMITED,BAJAJHLDNG
NTPCGREEN.NS,NTPC GREEN ENERGY LIMITED,NTPCGREEN
HAVELLS.NS,HAVELLS INDIA LIMITED,HAVELLS
ADANIENSOL.NS,ADANI ENERGY SOLUTIONS LIMITED,ADANIENSOL
CGPOWER.NS,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CGPOWER
TORNTPHARM.NS,TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM
DRREDDY.NS,DR. REDDY'S LABORATORIES LIMITED,DRREDDY
IOB.NS,INDIAN OVERSEAS BANK,IOB
ZYDUSLIFE.NS,ZYDUS LIFESCIENCES LIMITED,ZYDUSLIFE
TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
UNITDSPR.NS,UNITED SPIRITS LIMITED,UNITDSPR
RVNL.NS,RAIL VIKAS NIGAM LIMITED,RVNL
HEROMOTOCO.NS,HERO MOTOCORP LIMITED,HEROMOTOCO
DABUR.NS,DABUR INDIA LIMITED,DABUR
ICICIPRULI.NS,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
BOSCHLTD.NS,BOSCH LIMITED,BOSCHLTD
POLYCAB.NS,POLYCAB INDIA LIMITED,POLYCAB
INDUSTOWER.NS,INDUS TOWERS LIMITED,INDUSTOWER
CUMMINSIND.NS,CUMMINS INDIA LIMITED,CUMMINSIND
NAUKRI.NS,INFO EDGE (INDIA) LIMITED,NAUKRI
INDHOTEL.NS,THE INDIAN HOTELS COMPANY LIMITED,INDHOTEL
